YearOfBirth,Name,Sex,Number
1880,Elizabeth,M,9
1880,Elmore,M,9
1880,Ernst,M,9
1880,Finis,M,9
1880,Freddie,M,9
1880,Godfrey,M,9
1880,Guss,M,9
1880,Hamp,M,9
1880,Hermann,M,9
1880,Isadore,M,9
1880,Isreal,M,9
1880,Jones,M,9
1880,June,M,9
1880,Lacy,M,9
1880,Lafe,M,9
1880,Leland,M,9
1880,Llewellyn,M,9
1880,Ludwig,M,9
1880,Manford,M,9
1880,Maxwell,M,9
1880,Minnie,M,9
1880,Obie,M,9
1880,Octave,M,9
1880,Orrin,M,9
1880,Ossie,M,9
1880,Oswald,M,9
1880,Park,M,9
1880,Parley,M,9
1880,Ramon,M,9
1880,Rice,M,9
1880,Stonewall,M,9
1880,Theo,M,9
1880,Tillman,M,9
1880,Addie,M,8
1880,Aron,M,8
1880,Ashley,M,8
1880,Bernhard,M,8
1880,Bertie,M,8
1880,Berton,M,8
1880,Buster,M,8
1880,Butler,M,8
1880,Carleton,M,8
1880,Carrie,M,8
1880,Clara,M,8
1880,Clarance,M,8
1880,Clare,M,8
1880,Crawford,M,8
1880,Danial,M,8
1880,Dayton,M,8
1880,Dolphus,M,8
1880,Elder,M,8
1880,Ephriam,M,8
1880,Fayette,M,8
1880,Felipe,M,8
1880,Fernando,M,8
1880,Flem,M,8
1880,Florence,M,8
1880,Ford,M,8
1880,Harlan,M,8
1880,Hayes,M,8
1880,Henery,M,8
1880,Hoy,M,8
1880,Huston,M,8
1880,Ida,M,8
1880,Ivory,M,8
1880,Jonah,M,8
1880,Justin,M,8
1880,Lenard,M,8
1880,Leopold,M,8
1880,Lionel,M,8
1880,Manley,M,8
1880,Marquis,M,8
1880,Marshal,M,8
1880,Mart,M,8
1880,Odie,M,8
1880,Olen,M,8
1880,Oral,M,8
1880,Orley,M,8
1880,Otha,M,8
1880,Press,M,8
1880,Price,M,8
1880,Quincy,M,8
1880,Randall,M,8
1880,Rich,M,8
1880,Richmond,M,8
1880,Romeo,M,8